Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Bilheteria,Bilheteria_por_minuto,Ano_Lancamento
1,tt0499549,2014-02-24,2014-08-18,"WATCHED. $2,788.0",Avatar,Avatar,https://www.imdb.com/title/tt0499549/,Filme,7.9,162,2009,"Ação, Aventura, Fantasia, Ficção científica",1489938,2009-12-18,James Cameron,2788.0,17.209876543209877,2009.0
2,tt0120338,2014-02-24,2017-12-06,"WATCHED. $2,187.2",Titanic,Titanic,https://www.imdb.com/title/tt0120338/,Filme,8.0,194,1997,"Drama, Romance",1384874,1998-01-16,James Cameron,2187.2,11.27422680412371,1998.0
3,tt2488496,2015-12-24,2016-06-09,"WATCHED. $2,068.2",Star Wars: O Despertar da Força,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/,Filme,7.7,138,2015,"Ação, Aventura, Ficção científica",1021974,2015-12-17,J.J. Abrams,2068.2,14.98695652173913,2015.0
4,tt0369610,2015-06-23,2016-03-17,"WATCHED. $1,670.4",Jurassic World - O Mundo dos Dinossauros,Jurassic World,https://www.imdb.com/title/tt0369610/,Filme,6.9,124,2015,"Ação, Aventura, Ficção científica",726104,2015-06-11,Colin Trevorrow,1670.4,13.470967741935485,2015.0
5,tt0848228,2014-02-24,2016-01-04,"WATCHED. $1,519.6",Os Vingadores,The Avengers,https://www.imdb.com/title/tt0848228/,Filme,8.0,143,2012,"Ação, Ficção científica",1550681,2012-04-27,Joss Whedon,1519.6,10.626573426573426,2012.0
6,tt2820852,2015-04-13,2016-03-17,"NOT YET WATCHED. $1,516.0",Velozes & Furiosos 7,Fast & Furious 7,https://www.imdb.com/title/tt2820852/,Filme,7.1,137,2015,"Ação, Suspense",438112,2015-04-02,James Wan,1516.0,11.065693430656934,2015.0
7,tt2395427,2015-05-03,2016-03-17,"WATCHED. $1,405.4",Vingadores: Era de Ultron,Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/,Filme,7.3,141,2015,"Ação, Aventura, Ficção científica",994598,2015-04-23,Joss Whedon,1405.4,9.967375886524824,2015.0
8,tt1201607,2014-02-24,2014-02-24,"WATCHED. $1,341.5",Harry Potter e as Relíquias da Morte: Parte 2,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,Filme,8.1,130,2011,"Aventura, Família, Fantasia, Mistério",1039360,2011-07-15,David Yates,1341.5,10.319230769230769,2011.0
9,tt2294629,2014-02-24,2016-03-17,"WATCHED. $1,276.5",Frozen: Uma Aventura Congelante,Frozen,https://www.imdb.com/title/tt2294629/,Filme,7.4,102,2013,"Animação, Aventura, Comédia, Família, Fantasia, Musical",709765,2014-01-03,"Chris Buck, Jennifer Lee",1276.5,12.514705882352942,2014.0
10,tt2771200,2017-03-30,2017-07-25,"WATCHED. $1,262.2",A Bela e a Fera,Beauty and the Beast,https://www.imdb.com/title/tt2771200/,Filme,7.1,129,2017,"Aventura, Família, Fantasia, Musical, Romance",357281,2017-03-16,Bill Condon,1262.2,9.784496124031008,2017.0
