data,titulo,link,categoria,conteudo
"6 abril, 2026",Divulgado resultado do Projeto de Extensão “International Student Application Process”,https://ifpr.edu.br/foz-do-iguacu/divulgado-resultado-do-projeto-de-extensao-international-student-application-process/,Internacional,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRInternacionalPublicado em6 abril, 2026O Instituto Federal do Paraná (IFPR) – Campus Foz do Iguaçu divulgou o resultado da seleção de estudantes que participarão do Projeto de Extensão“International Student Application Process:Formação e Orientação para Acesso ao Ensino Superior no Exterior”, o qual oferece orientação gratuita a estudantes interessados em ingressar em universidades estrangeiras, especialmente nos Estados Unidos.No processo seletivo, foi priorizado o bom nível de inglês (intermediário/avançado) dos estudantes, considerando que o projeto não tem como objetivo ensinar a língua, mas sim potencializar alunos que já possuem fluência para participarem de exames de universidades internacionais, especialmente americanas. Isso  deve-se ao fato de que não haveria tempo hábil para desenvolver o idioma até o nível exigido por essas instituições.Também foi considerado o momento acadêmico dos estudantes, priorizando alunos em fase de aplicação:* 3º e 4º anos do Ensino Médio Integrado (no caso do IFPR);* 2º e 3º anos do Ensino Médio Regular para alunos da comunidade externa.A coordenadora, professora Patrícia Ramos, explica que alunos universitários não foram considerados elegíveis, uma vez que o foco do projeto está na preparação para ingresso no ensino superior internacional.O primeiro encontro com o grupo será nosábado, dia 11/04, às 9h30. Após esse momento inicial, os participantes serão organizados em grupos e horários que permitam atender todos de forma adequada.Segue, abaixo, a lista dos alunos selecionados:ALUNOS SELECIONADOS PARA O PROJETO DE EXTENSÃO “International Student Application Process: Formação e Orientação para Acesso ao Ensino Superior no Exterior”Seleção interna – IFPR Campus Foz do IguaçuAna Beatriz Georgette da Cruz – 4º EdificaçõesArthur Roberto Dartora Fernandes – 4º TDSCamily Vitória dos Santos Guillen – 4º Meio AmbienteDavi Wacheski Sacardo – 3º TDSEduardo Gonella – 3º TDSFelipe Lenz Soares dos Santos – 4º TDSGabriel Augusto de Lima Silva – 3º TDSHenrique Akira Murakami – 3º TDSMaycon Jonathan Geraldo de Santana – 3º TDSMurilo de Barros Iscuissati – 3º TDSMurilo Henrique Abreu Lobo – 3º Meio AmbienteNicolle Maria Kozievitch Hoffelder – 4º Meio AmbientePedro Gabriel de Oliveira Ten Caten – 3º AquiculturaPietro Moro Sepp – 3º TDSThéo Marlon Spath Tannouri – 3º TDSSeleção externa – inclui outros campi do IFPR e comunidade externaDanilo Fraga Freitas – (Avançado)Letícia de Araújo Moraes – IFPR Pinhais (3º ano)Maria Eduarda Oliveira de Lima – (Intermediário)Nicolas Felipe Iatcekiw Bergmann – CPM (Intermediário)Rodrigo Woll Freire – 3º ano do Ensino Médio (Colegio Estadual Cataratas do Iguaçu)Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"31 março, 2026",Programa Partiu IF divulga resultado,https://ifpr.edu.br/foz-do-iguacu/programa-partiu-if-divulga-resultado/,PartiuIF,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRPartiuIFPublicado em31 março, 2026O IFPR divulgou o resultado final do processo seletivo para o preenchimento de vagas destinadas a ESTUDANTES no âmbito doPrograma PartiuIF do IFPR, no ano de 2026.A iniciativa oferece aulas de reforço nas áreas da Matemática, Língua Portuguesa e Ciências da Natureza.Acesse aqui a lista com os aprovados para o programa no IFPR – Campus Foz do Iguaçu.O curso é totalmente gratuito e tem como objetivo preparar os estudantes do ensino fundamental de escolas públicas para o ingresso na Rede Federal de Educação Profissional, Científica e Tecnológica, da qual o IFPR faz parte.Além das aulas, os estudantes selecionados vão receber uma bolsa mensal de R$ 200, com o objetivo de estimular a frequência e a conclusão do curso.Os participantes também poderão concorrer às vagas do Processo Seletivo do IFPR reservadas a quem cursou o Programa Partiu IF em 2026.O início das aulas está previsto para o dia6 de abril, na unidade do IFPR para o qual o candidato se inscreveu e foi selecionado.Antes de realizar a inscrição, é recomendado que o estudante leia oedital 43, que traz todas as informações e orientações para realização de inscrição e matrículas.Mais informações podem ser encontradas na página doPrograma Partiu IF.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"27 março, 2026",IFPR – Foz divulga edital do Programa de Apoio a Eventos Estudantis,https://ifpr.edu.br/foz-do-iguacu/ifpr-foz-divulga-edital-do-programa-de-apoio-a-eventos-estudantis-3/,Participação em eventos,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRParticipação em eventosPublicado em27 março, 2026O Instituto Federal do Paraná (IFPR) – Campus Foz do Iguaçu tornou público, no dia 27 de março, oEdital Nº 61, que rege o processo de inscrição e seleção de estudantes devidamente matriculados nos cursos regulares presenciais do IFPR para atuação junto aoPrograma de Apoio a Eventos Estudantis, referente ao exercício de 2026.O programa de Apoio à Participação em Eventos Estudantis tem como objetivo viabilizar a participação dos/as estudantes em eventos científicos (congressos, simpósios, seminários, conferências, entre outros); eventos políticos-acadêmicos (Grêmio Estudantil e Centros Acadêmicos); e outros eventos estudantis (atividades artísticas, esportivas e olimpíadas de conhecimento), por meio do repasse financeiro para custear parcialmente despesas com inscrição, alimentação, hospedagem e transporte.O Edital contempla a concessão de auxílio financeiro para custear parcialmente as seguintes despesas em eventos estudantis:1. Inscrição (até R$ 220,00)2. Alimentação (R$ 100,00)4. Hospedagem (R$ 130,00)5. Transporte (R$ 0,90 por km – teto de R$1.100,00)O edital é de fluxo contínuo e tem vigência de abril/2026 até dezembro/2026, havendo disponibilidade orçamentária.Para se inscrever, o estudante deve preencher o :Formulário de Inscrição – Eventos 2026Em caso de dúvidas durante o processo de solicitação, o/a estudante deverá entrar em contato com a Seção Pedagógica e de Assuntos Estudantis do Campus Foz do Iguaçu, pelo e-mail:sepae.foz@ifpr.edu.brWhatsapp: (45) 3422-5331Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"25 março, 2026",Projeto IFPR Maker ofertará oficinas de programação e robótica para estudantes de escolas públicas,https://ifpr.edu.br/foz-do-iguacu/projeto-ifpr-maker-ofertara-oficinas-de-programacao-e-robotica-para-estudantes-de-escolas-publicas-4/,EXTENSÃO,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPREXTENSÃOPublicado em25 março, 2026O Projeto de Extensão IFPR Maker do Instituto Federal do Paraná – Campus Foz do Iguaçu, coordenado pelo professor Daniel Di Domenico, está com inscrições abertas,até 19 de abril, para oficinas gratuitas e presenciais de formação básica nas áreas deProgramação,Robótica EducacionaleCultura Maker. As informações estão disponíveis noEdital Nº 56/2026.As atividades destinam-se a estudantes doEnsino Médiodo IFPR edeoutrasescolas públicasdo município de Foz do Iguaçu e região. O objetivo é introduzir conceitos fundamentais sobre ferramentas manuais, lógica de programação, microcontroladores, programação para dispositivos móveis e modelagem 3D. Com foco em atividades práticas, os participantes explorarão ferramentas para aplicar os conceitos de programação, robótica e cultura maker.As inscrições serão feitas peloFormulário Eletrônico.Os encontros irão ocorrer às segundas-feiras, no horário das 14h às 17h, no IFPR, localizado na Av. Araucária, 780 – Vila A, Foz do Iguaçu.A seleção será realizada por uma Comissão de Seleção.O projeto terácertificaçãopara os participantes com carga horária de 27 horas.Ao todo, serão realizadas oito oficinas e uma atividade integrativa ao final, de acordo com o cronograma abaixo.Dúvidas e mais informações pelo e-mail: projetoifprmaker@gmail.com.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"20 março, 2026",Jogos Internos 2026 do IFPR Foz celebram o esporte e a integração,https://ifpr.edu.br/foz-do-iguacu/jogos-internos-2026-do-ifpr-foz-celebram-o-esporte-e-a-integracao/,Esportes,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPREsportesPublicado em20 março, 2026Dois dias de muita competição, integração e espírito esportivo marcaram os Jogos Internos do IFPR – Campus Foz do Iguaçu. Realizado nos dias 12 e 13 de março, o evento reuniu estudantes de diferentes cursos em uma ampla programação esportiva. Nas oportunidade, nossos alunos e alunas dos cursos técnicos integrados ao Ensino Médio disputaram em diversas modalidades, como atletismo, esportes coletivos, jogos de mesa e atividades recreativas, reforçando o espírito de integração e competitividade entre os participantes.Ao final das competições, a pontuação geral consagrou o curso deTécnicoDesenvolvimento de Sistemas(TDS)como campeão dos Jogos Internos 2026, somando 164,10 pontos. Em segundo lugar ficouAquicultura, com 152,60 pontos, seguido porMeio Ambiente, com 142 pontos. O curso deEdificaçõesencerrou a competição na quarta colocação, com 126,30 pontos.Além dos resultados, o evento foi marcado pela participação ativa das torcidas e pelo envolvimento da comunidade acadêmica, fortalecendo o ambiente escolar e promovendo valores como trabalho em equipe, respeito e superação. O curso deAquicultura levou o 1º lugar na disputa entre torcidas.Coordenados pelo professor de Educação Física, Fábio Castilha, os Jogos Internos do IFPR consolidam-se como uma importante iniciativa de incentivo ao esporte e à convivência entre os estudantes no Campus, contribuindo para a formação integral dos participantes.Os resultados com as pontuações podem ser conferidos aqui:https://docs.google.com/document/d/1-3_tBP1VrPopORvqiKrEpVU9H7LmQsqZ/editCabo de guerra misto:1º Edificações 2 / Forte no Bruto | 2º Aquicultura 1 | 3º Meio AmbienteArremesso de peso feminino:1º Eduarda Nancy (Aquicultura) | 2º Julia Begnini (Meio Ambiente) | 3º Antonella Lara (Edificações)Arremesso de peso masculino:1º Petrus M. Souza (Desenvolvimento de Sistemas) | 2º Otávio (Desenvolvimento de Sistemas) | 3º Carlos Ítalo Dias (Aquicultura)Corrida de velocidade feminino:1º Marina Cordeiro (Meio Ambiente) | 2º Julia Begnini (Meio Ambiente) | 3º Rebeca C. (Aquicultura)Corrida de velocidade masculino:1º Carlos Ítalo (Aquicultura) | 2º Davi Montanheiro (Desenvolvimento de Sistemas) | 3º Cleber (Edificações)Corrida de revezamento misto:1º Meio Ambiente | 2º Aquicultura | 3º Desenvolvimento de SistemasVoleibol feminino:1º Aquicultura | 2º Meio Ambiente | 3º EdificaçõesVoleibol masculino:1º Desenvolvimento de Sistemas | 2º Meio Ambiente | 3º AquiculturaFutsal feminino:1º Aquicultura | 2º Edificações | 3º Meio AmbienteFutsal masculino:1º Edificações 1 / Tijolada FC | 2º Desenvolvimento de Sistemas | 3º Desenvolvimento de Sistemas 1Queimada mista:1º Meio Ambiente | 2º Edificações 1 / Demolição Total | 3º Aquicultura / Los BagresTênis de mesa feminino:1º Gisele Queiroz (Aquicultura) | 2º Eduarda Nancy (Aquicultura) | 3º Seni Samira (Aquicultura)Tênis de mesa masculino:1º Cleber Eduardo (Edificações) | 2º Murilo Gomes (Edificações) | 3º Thiago Dier (Desenvolvimento de Sistemas)Xadrez feminino (blitz):1º Maria Teixeira (Desenvolvimento de Sistemas) | 2º Camilly Guillen (Meio Ambiente) | 3º Diana Kodri (Edificações)Xadrez feminino (rápidas):1º Maria Teixeira (Desenvolvimento de Sistemas) | 2º Camilly Guillen (Meio Ambiente) | 3º Stephany Xavier (Meio Ambiente)Xadrez masculino (blitz):1º Adriel Pozzo (Desenvolvimento de Sistemas) | 2º Victor Henrique (Desenvolvimento de Sistemas) | 3º Cayo Silva (Desenvolvimento de Sistemas)Xadrez masculino (rápidas):1º Guilherme Canever (Desenvolvimento de Sistemas) | 2º Adriel Pozzo (Desenvolvimento de Sistemas) | 3º Felipe Sousa (Aquicultura)Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"18 março, 2026",Cineciência promove reflexão sobre o papel das mulheres na ciência em evento no IFPR Foz,https://ifpr.edu.br/foz-do-iguacu/cineciencia-promove-reflexao-sobre-o-papel-das-mulheres-na-ciencia-em-evento-especial-no-ifpr/,Notícias,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRNotíciasPublicado em18 março, 2026Você já parou para pensar nos desafios enfrentados pelas mulheres que transformaram a história da ciência? Pensando em dar visibilidade a essas trajetórias e fomentar o debate sobre a equidade de gênero no meio acadêmico e científico, o Instituto Federal do Paraná (IFPR) – Campus Foz do Iguaçu promove uma edição especial doProjeto Cineciência – Razão e Imaginação.A iniciativa, que celebra oMês das Mulheres, ocorre no dia 25 de março, a partir das 14h30, no miniauditório do Campus. A atividade é gratuita e voltada principalmente para estudantes do Ensino Médio e da Graduação. Inscrições através do link:https://forms.gle/5ownUBZ5VK93dEDK7.A programação terá início com a exibição do filme “Radioactive” (2019), longa-metragem que narra a vida da física e química polonesa Marie Curie, figura central na história da ciência mundial. Pioneira e vencedora de dois Prêmios Nobel em diferentes categorias (Física e Química), Curie enfrentou inúmeras barreiras em uma época em que o acesso das mulheres à educação formal e à pesquisa era severamente restrito. O filme serve como ponto de partida para uma discussão mais ampla sobre os obstáculos que persistem na atualidade.Após a sessão, será realizada umaroda de conversa com o tema “Mulheres na Ciência”. O debate abordará questões fundamentais como os desafios enfrentados por pesquisadoras no desenvolvimento de suas carreiras, dados atualizados sobre a participação feminina nas diversas áreas do conhecimento e os caminhos possíveis para alcançar uma liderança mais equitativa nos espaços de produção científica.A coordenadora do Projeto explica que a proposta é unir cultura e conscientização, reforçando a mensagem de que a ciência também tem voz feminina e que é preciso incentivar a entrada e a permanência de meninas e mulheres nesse universo.As inscrições para participar já estão abertas e devem ser realizadas por meio doformulário eletrônico.Haverá pipoca livre para os participantes, que poderão levar bebidas se quiserem. Uma oportunidade para socializar, aprender, refletir e se inspirar com histórias de superação e contribuições essenciais para a humanidade.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"17 março, 2026",IFPR abre inscrições para projeto de orientação a estudos no exterior,https://ifpr.edu.br/foz-do-iguacu/ifpr-abre-inscricoes-para-projeto-de-orientacao-a-estudos-no-exterior/,Internacional,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRInternacionalPublicado em17 março, 2026O Instituto Federal do Paraná (IFPR) – Campus Foz do Iguaçu está com inscrições abertas para o Projeto de Extensão“International Student Application Process:Formação e Orientação para Acesso ao Ensino Superior no Exterior”, que oferece orientação gratuita a estudantes interessados em ingressar em universidades estrangeiras, especialmente nos Estados Unidos.As inscrições são gratuitas e podem ser realizadas de 17 a 31 de marçopor meio deformulário on-line. Ao todo, são oferecidas 14 vagas, sendo 10 destinadas a alunos do próprio IFPR e 4 para candidatos externos à instituição.A iniciativa visa capacitar os participantes sobre as etapas necessárias para estudar fora do país, abordando desde a pesquisa de oportunidades até a preparação para entrevistas. Entre os tópicos abordados estãoestratégias para encontrar bolsas de estudo,elaboração de currículo acadêmico,orientações para candidatura a universidades dos Estados Unidos e Europa e simulação de processos seletivos.Segundo a coordenadora do projeto, professora Patricia de Lara Ramos,a proposta tem como objetivo promover a equidade de acesso à informação, o desenvolvimento de competências acadêmicas e a ampliação das perspectivas de mobilidade internacional.A iniciativa será desenvolvida em duas etapas complementares: (1) formação interna de estudantes do Campus, com acompanhamento sistemático e orientação individual e coletiva acerca das etapas do processo de candidatura internacional; e (2) oferta de oficinas abertas à comunidade externa, democratizando o acesso ao conhecimento sobre bolsas de estudo, exames de proficiência, construção de currículo acadêmico, cartas de motivação, entrevistas e planejamento estratégico de candidatura.O projeto representa uma oportunidade para quem deseja planejar uma trajetória acadêmica internacional. Os interessados devem preencher o formulário disponível emhttps://forms.gle/Pv41AR9ei8unxVru8e garantir a participação. As vagas são limitadas, e a organização reforça a importância de se inscrever dentro do prazo estipulado.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"16 março, 2026",IFPR Foz realiza programação especial alusiva ao Mês das Mulheres,https://ifpr.edu.br/foz-do-iguacu/ifpr-foz-realiza-programacao-especial-alusiva-ao-mes-das-mulheres/,Notícias,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRNotíciasPublicado em16 março, 2026Como você tem contribuído para a igualdade de gênero?Para refletir sobre essa questão tão importante, o Instituto Federal do Paraná (IFPR) – Campus Foz do Iguaçu promoveu a programação especial em alusão ao Mês das Mulheres, reunindo estudantes, servidores e a comunidade acadêmica em torno do diálogo sobre igualdade de gênero, respeito às mulheres, enfrentamento ao sexismo e combate à violência contra as mulheres. Organizada peloNúcleo de Gênero, Diversidade Sexual e Interseccionalidade (Nugedis), com apoio da Direção-Geral do campus, a manhã ocorreu no sábado (14/03).A programação teve início com uma acolhida aos participantes, seguida da atividade“Exibindo a igualdade de gênero”,um varal com mensagens e reflexões sobre o tema. Em seguida, um lanche coletivo trouxe uma provocação ao público:“Quem preparou seu lanche?”,convidando os participantes a refletirem sobre a divisão de tarefas e o trabalho frequentemente invisibilizado no cotidiano.Um dos destaques do evento foi amesa-redonda “Como responder ao sexismo do dia a dia?”, que reuniu seis mulheres que se destacam em diferentes áreas profissionais relacionadas aos cursos ofertados pelo campus. Participaram da conversaJuliana Alice Lösch Nervis,supervisora de Assistência Técnica em Piscicultura na Cooperativa Agroindustrial Consolata (Copacol);Larissa Barbado, egressa da primeira turma de Informática do IFPR Foz (2010–2012) e atualmente consultora e analista de projetos e dados;Emanuele Furlan Pretto, engenheira civil e de segurança do trabalho e gerente técnica na Tarobá Construções;Pamela Matinc,engenheira ambiental do Centro de Competência em Inteligência e Gestão Territorial do Itaipu Parquetec;Dáfni Fernanda Zenedin Marchioro,professora titular da Universidade Federal da Integração Latino-Americana (Unila), no Instituto Latino-Americano de Ciências da Vida e da Natureza; eIve Nunes, chef executiva do Grupo Capitão.Durante a mesa, as convidadas compartilharam suas trajetórias profissionais, desafios enfrentados em ambientes de trabalho ainda marcados por desigualdades e estratégias para lidar com situações de sexismo no cotidiano.A engenheira de Pesca Juliana Lösch Nervis fez uma fala inspiradora abordando a presença feminina na Aquicultura. “Quando uma mulher conquista um espaço no mercado de trabalho, ela abre caminho para muitas outras. O futuro do trabalho não será definido pelo gênero de quem ocupa o espaço, mas pela coragem de quem decide transformá-lo”, concluiuA doutora em Física Dáfni Marchioro narrou um pouco de sua trajetória profissional sempre em posição como integrante de uma minoria, desdea graduação, passando pelo doutorado e até os dias atuais. Ela ressalta que “o que todos nós precisamos fazer é empoderar meninas e mulheres, incentivando e apoiando suas escolhas.Os estudantes participaram ativamente com perguntas e declarações importantes acerca da temática.Outro momento importante da programação foi o lançamento do Banco Vermelho no campus – um símbolo internacional de reflexão e conscientização sobre a violência contra as mulheres e o feminicídio.A iniciativa é incentivada pela Reitoria do IFPR e vem sendo replicada em diversos campi da instituição, fortalecendo ações de sensibilização e enfrentamento à violência de gênero em toda a comunidade acadêmica. No Campus Foz do Iguaçu, o projeto conta com o apoio da Direção-Geral e do Nugedis.Mais do que um elemento simbólico no espaço do campus, o Banco Vermelho busca provocar reflexão permanente sobre a importância do respeito, da igualdade e do enfrentamento a todas as formas de violência de gênero.O Núcleo de Gênero do IFPR Foz foi criado em novembro de 2025.  Ele atua como espaço de promoção de uma educação para a convivência ética e democrática, contribuindo com a construção da equidade de gênero, com o respeito à diversidade sexual, e com a prevênção e o enfrentamento às violências e a todas as formas de discriminação.Este foi o primeiro grande evento promovido no Campus pelo Nugedis. A coordenadora do Nugedis/IFPR Foz,professora Márcia Tiemi Saito,acredita que o evento superou as expectativas. “Com esta programação, buscamos conscientizar sobre a importância de todos, homens e mulheres, em construir uma sociedade mais justa e igualitária, que trate as mulheres com respeito e dignidade. Fico muito feliz porque acredito que alcançamos um grande envolvimento de todos os participantes. Ficou nítido pelas mensagens deixadas no varal e pela grande quantidade de perguntas e depoimentos ao final do evento”ressaltou.Atualmente, é composto pela professoras:Gislaine Simões, Juliana Quiñonez Benacchio; Luana Pierre, Márcia Saito e Silvana Testoni.A coordenadora Márcia Saito ressalta que o Nugedis está de portas abertas a todos os interessados em fazer parte do Núcleo. Para entrar em contato, é só enviar e-mail para nugedis.foz@ifpr.edu.br.Em casos de violência contra a mulher, a denúncia pode ser feita pelotelefone 180, da Central de Atendimento à Mulher.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"13 março, 2026",IFPR Foz recebe professor visitante da República Dominicana,https://ifpr.edu.br/foz-do-iguacu/ifpr-foz-recebe-professor-visitante-da-republica-dominicana/,Notícias,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRNotíciasPublicado em13 março, 2026O Instituto Federal do Paraná – Campus Foz do Iguaçu recebeu, neste mês março, o professor Dr. Richard Felipe Almaguer López, docente de Educação Física do Instituto Superior de Formação Docente Salomé Ureña, da República Dominicana.Professor cubano radicado no país caribenho, ele está no Brasil por meio de um projeto de internacionalização do IFPR, realizando um estágio de docência nos campi Foz do Iguaçu e Palmas.Acompanhado pelos professores Fábio Castilha e Patrícia Gaion,  o docente desenvolveu atividades teóricas e práticas sobre handebol, compartilhando sua experiência de mais de 40 anos de docência.Na próxima semana  (14 a 28 de março), o professor Richard irá para o Campus Palmas do IFPR, onde atuará no ensino superior em Educação Física, abordando Treinamento Desportivo, iniciação esportiva e esportes coletivos.A iniciativa fortalece a internacionalização, o intercâmbio de conhecimentos e a formação acadêmica no IFPR.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
"11 março, 2026",Publicados editais de Afastamento Integral para Pós Graduação,https://ifpr.edu.br/foz-do-iguacu/publicados-editais-de-afastamento-integral-para-pos-graduacao/,afastamento,"Saiba maisProcessos em andamento.Sistemas Acadêmicos, Administrativos e HelpdeskInformações sobre as bibliotecas do IFPRafastamentoPublicado em11 março, 2026O IFPR – Campus Foz do Iguaçu publicou dois editais voltados o afastamento integral para participação em programa de pós-graduação stricto sensu ou de pós-doutorado, no país ou no exterior.AFASTAMENTO INTEGRAL PARA PÓS GRADUAÇÃOPROFESSOR EBTTOEdital DG/FOZ/IFPR nº 45/2026abre inscrições paraprofessoresinteressados em se afastar para pós graduação. Para se inscrever, o(a) candidato(a) deverá abrir o processo de afastamento para pós-graduação stricto sensu ou de pós-doutorado (Integral), no Sistema Eletrônico de Informação – SEI IFPR, incluir os documentos obrigatórios e enviá-lo para a SEGEPE do campus até o dia18/03/2026.TÉCNICOS ADMINISTRATIVOSJá oEdital DG/FOZ/IFPR nº 51/2026abre inscrições para a seleção paraTécnico-Administrativoem Educação – TAE do Instituto Federal do Paraná – IFPR interessados em requerer o afastamento integral para participação em programa de pós-graduação stricto sensu ou de pós-doutorado, no país ou no exterior.Para realizar a inscrição, o(a) candidato(a) deverá abrir o processo de afastamento para pós-graduaçãono Sistema Eletrônico de Informação – SEI IFPR, incluir os documentos obrigatórios e enviá-lo à SEGEPE do campus até o dia25/03/2026.Consulte o cadastro do IFPR no e-mecIFPR – Campus Foz do Iguaçu – Avenida Araucária, 780, Bairro Vila A – CEP: 85860-000 – Foz do Iguaçu – Paraná."
