,Posicao,Selecao,Jogos,Vitorias,Empates,Derrotas,Gols Marcados,Gols Sofridos,Saldo de Gols,Pontos,Ano
0,1,Uruguay,4,4,0,0,15,3,12,8,1930
1,2,Argentina,5,4,0,1,18,9,9,8,1930
2,3,United States,3,2,0,1,7,6,1,4,1930
3,4,Yugoslavia,3,2,0,1,7,7,0,4,1930
4,5,Chile,3,2,0,1,5,3,2,4,1930
5,6,Brazil,2,1,0,1,5,2,3,2,1930
6,7,France,3,1,0,2,4,3,1,2,1930
7,8,Romania,2,1,0,1,3,5,-2,2,1930
8,9,Paraguay,2,1,0,1,1,3,-2,2,1930
9,10,Peru,2,0,0,2,1,4,-3,0,1930
10,11,Belgium,2,0,0,2,0,4,-4,0,1930
11,12,Bolivia,2,0,0,2,0,8,-8,0,1930
12,13,Mexico,3,0,0,3,4,13,-9,0,1930
13,1,Italy,4,3,1,0,11,3,8,7,1934
14,2,Czechoslovakia,4,3,0,1,9,6,3,6,1934
15,3,Germany,4,3,0,1,11,8,3,6,1934
16,4,Austria,4,2,0,2,7,7,0,4,1934
17,5,Spain,2,1,1,0,4,2,2,3,1934
18,6,Hungary,2,1,0,1,5,4,1,2,1934
19,7,Switzerland,2,1,0,1,5,5,0,2,1934
20,8,Sweden,2,1,0,1,4,4,0,2,1934
21,9,Argentina,1,0,0,1,2,3,-1,0,1934
22,9,France,1,0,0,1,2,3,-1,0,1934
23,9,Netherlands,1,0,0,1,2,3,-1,0,1934
24,12,Romania,1,0,0,1,1,2,-1,0,1934
25,13,Egypt,1,0,0,1,2,4,-2,0,1934
26,14,Brazil,1,0,0,1,1,3,-2,0,1934
27,15,Belgium,1,0,0,1,2,5,-3,0,1934
28,16,United States,1,0,0,1,1,7,-6,0,1934
29,1,Italy,4,4,0,0,11,5,6,8,1938
30,2,Hungary,4,3,0,1,15,5,10,6,1938
31,3,Brazil,5,3,1,1,14,11,3,7,1938
32,4,Sweden,3,1,0,2,11,9,2,2,1938
33,5,Czechoslovakia,3,1,1,1,5,3,2,3,1938
34,6,Switzerland,3,1,1,1,5,5,0,3,1938
35,7,Cuba,3,1,1,1,5,12,-7,3,1938
36,8,France,2,1,0,1,4,4,0,2,1938
37,9,Romania,2,0,1,1,4,5,-1,1,1938
38,10,Germany,2,0,1,1,3,5,-2,1,1938
39,11,Poland,1,0,0,1,5,6,-1,0,1938
40,12,Norway,1,0,0,1,1,2,-1,0,1938
41,13,Belgium,1,0,0,1,1,3,-2,0,1938
