temperatura,chuva,feriado,fim_semana,turistas,periodo,ponto_visitado
37,0,0,0,813,tarde,Parque_Aves
13,0,0,0,15254,tarde,Parque_Aves
27,1,0,0,3705,tarde,Itaipu
16,0,0,0,11625,manha,Parque_Aves
23,1,1,1,8857,tarde,Itaipu
16,0,1,0,5066,manha,Parque_Aves
32,1,1,1,15090,noite,Itaipu
34,0,1,1,6835,noite,Cataratas
22,0,0,0,19378,manha,Parque_Aves
30,1,0,1,15202,tarde,Cataratas
28,0,1,1,3700,manha,Parque_Aves
31,1,1,0,2233,tarde,Itaipu
19,1,1,1,12299,manha,Itaipu
30,1,1,0,12058,manha,Itaipu
30,1,0,0,12657,tarde,Itaipu
25,1,1,1,5714,manha,Itaipu
16,1,1,1,8847,noite,Itaipu
34,0,0,1,6362,noite,Cataratas
16,0,0,0,875,tarde,Parque_Aves
17,0,0,1,13375,noite,Marco
11,1,1,0,15194,manha,Itaipu
32,1,1,0,15375,manha,Itaipu
25,0,0,1,13907,manha,Parque_Aves
20,0,0,1,9347,tarde,Parque_Aves
24,0,0,0,2026,noite,Marco
13,1,1,1,19849,noite,Itaipu
14,1,0,0,13745,noite,Itaipu
14,1,0,1,15472,tarde,Itaipu
31,0,1,0,5610,tarde,Parque_Aves
26,0,0,1,9045,tarde,Parque_Aves
33,1,1,1,2181,manha,Itaipu
21,1,0,1,3964,manha,Cataratas
13,0,1,1,7177,manha,Parque_Aves
33,0,1,0,17659,manha,Parque_Aves
24,1,1,1,4952,noite,Itaipu
37,1,1,0,19326,manha,Itaipu
16,1,1,0,10395,noite,Itaipu
24,1,1,0,13793,manha,Itaipu
30,1,1,0,17215,noite,Itaipu
21,0,0,0,17318,tarde,Parque_Aves
13,0,1,1,13064,noite,Marco
26,0,1,0,6532,manha,Parque_Aves
19,1,0,1,15818,noite,Itaipu
30,0,1,1,19445,noite,Cataratas
22,0,1,1,12814,tarde,Parque_Aves
29,1,0,1,11066,tarde,Itaipu
35,0,0,0,16743,noite,Marco
25,1,1,0,16298,noite,Itaipu
21,1,0,1,12593,manha,Itaipu
35,1,1,0,13884,tarde,Itaipu
27,0,0,0,621,noite,Marco
21,0,1,0,1428,manha,Parque_Aves
19,0,0,0,19945,noite,Marco
16,1,1,0,7884,manha,Cataratas
11,1,0,1,1145,tarde,Itaipu
10,0,1,1,8776,tarde,Parque_Aves
19,1,0,0,13726,noite,Itaipu
34,0,1,0,1071,manha,Parque_Aves
12,0,1,0,18970,manha,Parque_Aves
37,1,0,1,5649,manha,Itaipu
32,1,0,0,16673,tarde,Itaipu
26,0,0,0,7517,tarde,Parque_Aves
24,0,0,0,13442,tarde,Parque_Aves
10,0,1,1,12987,manha,Parque_Aves
23,0,0,1,15152,noite,Marco
36,1,1,0,3773,manha,Cataratas
13,0,0,0,18591,manha,Parque_Aves
18,0,1,1,8701,noite,Marco
12,0,1,0,18454,noite,Marco
32,0,0,0,7021,tarde,Parque_Aves
35,1,1,1,14663,tarde,Itaipu
28,0,1,0,9154,noite,Marco
30,1,0,1,14058,manha,Itaipu
30,1,1,1,11819,tarde,Cataratas
28,0,0,0,1458,noite,Marco
29,1,0,0,11579,manha,Itaipu
34,0,1,0,7874,manha,Parque_Aves
32,0,0,1,16968,noite,Cataratas
33,1,0,0,14042,noite,Itaipu
26,0,0,0,6014,manha,Parque_Aves
15,1,0,0,1208,tarde,Itaipu
17,0,1,0,5544,manha,Parque_Aves
15,0,0,1,16005,noite,Marco
20,0,1,1,18971,noite,Marco
24,0,1,0,4064,tarde,Parque_Aves
10,0,0,1,4214,noite,Marco
16,0,0,0,1760,tarde,Parque_Aves
32,1,0,1,19955,manha,Cataratas
22,0,1,0,17871,noite,Marco
17,0,1,0,540,manha,Parque_Aves
36,1,0,1,5857,tarde,Itaipu
18,0,1,0,5968,tarde,Parque_Aves
24,1,1,0,14678,tarde,Itaipu
38,0,0,1,13412,manha,Cataratas
26,1,0,1,3919,tarde,Itaipu
17,1,0,1,13586,tarde,Itaipu
35,1,0,1,11155,tarde,Itaipu
20,1,1,1,10299,noite,Itaipu
13,1,0,1,9608,manha,Itaipu
35,0,0,0,4693,manha,Parque_Aves
14,1,0,1,6209,noite,Itaipu
34,1,1,0,7712,manha,Itaipu
24,1,1,0,18599,tarde,Cataratas
15,1,0,1,19582,noite,Itaipu
38,1,0,1,3764,manha,Itaipu
10,1,1,1,1539,manha,Itaipu
31,1,0,1,14437,noite,Itaipu
13,0,1,0,11713,tarde,Parque_Aves
28,0,1,1,1694,manha,Parque_Aves
17,0,0,1,1634,manha,Parque_Aves
24,1,0,0,14783,tarde,Itaipu
24,1,1,0,19526,manha,Cataratas
24,0,0,0,15175,manha,Parque_Aves
34,0,0,1,3740,manha,Cataratas
10,0,0,1,15289,manha,Parque_Aves
31,1,0,0,2470,noite,Itaipu
17,1,1,0,19876,tarde,Itaipu
23,1,0,1,599,manha,Itaipu
29,1,0,0,12764,tarde,Itaipu
21,0,1,1,8090,manha,Parque_Aves
29,1,1,1,13080,tarde,Itaipu
12,0,0,0,9628,tarde,Parque_Aves
24,1,0,0,12261,manha,Itaipu
10,0,1,1,10169,noite,Marco
14,1,1,0,15760,manha,Itaipu
31,0,0,0,13205,noite,Marco
24,1,1,1,5890,tarde,Cataratas
29,1,1,0,6235,manha,Itaipu
14,1,0,1,17407,manha,Itaipu
28,0,1,1,17826,manha,Parque_Aves
15,1,1,1,12669,tarde,Itaipu
20,0,1,0,13757,tarde,Parque_Aves
37,1,0,1,16225,noite,Itaipu
11,1,1,0,2613,noite,Itaipu
12,0,1,0,12788,noite,Marco
17,0,0,0,16817,tarde,Parque_Aves
36,1,1,0,3104,tarde,Cataratas
35,0,1,1,12331,tarde,Cataratas
21,1,0,0,18568,tarde,Itaipu
14,0,0,1,755,noite,Marco
20,1,0,0,2335,manha,Itaipu
11,0,1,0,4525,noite,Marco
30,0,1,0,14750,noite,Marco
20,0,0,1,4326,tarde,Parque_Aves
23,0,0,0,6661,tarde,Parque_Aves
12,0,0,0,19277,tarde,Parque_Aves
29,0,0,1,10720,manha,Cataratas
34,0,1,1,16772,noite,Cataratas
14,1,0,0,5590,tarde,Cataratas
30,1,0,1,5389,noite,Itaipu
18,1,0,0,15886,noite,Itaipu
28,1,0,0,17364,manha,Cataratas
36,0,1,1,7453,tarde,Cataratas
23,0,1,0,16680,manha,Parque_Aves
36,0,0,0,7934,tarde,Parque_Aves
12,1,0,0,4532,tarde,Itaipu
16,0,0,0,3176,noite,Marco
30,1,0,0,10462,manha,Cataratas
21,0,0,1,9080,manha,Parque_Aves
33,1,1,0,14675,manha,Itaipu
11,0,0,0,11971,noite,Marco
22,0,0,0,2586,tarde,Parque_Aves
29,1,1,0,4108,noite,Itaipu
13,1,1,0,3960,manha,Itaipu
27,1,1,0,12806,manha,Itaipu
12,1,0,1,13192,noite,Itaipu
33,0,0,1,3501,noite,Cataratas
34,1,0,1,19175,manha,Cataratas
18,1,0,1,4039,manha,Itaipu
37,1,1,1,12815,noite,Itaipu
32,0,1,0,3214,noite,Marco
12,1,0,0,12688,manha,Itaipu
35,0,0,0,9011,noite,Marco
12,0,1,0,19283,noite,Marco
31,1,0,1,10281,manha,Itaipu
28,0,0,1,16742,manha,Parque_Aves
33,0,1,0,15386,manha,Parque_Aves
21,0,1,1,13780,manha,Parque_Aves
17,1,1,0,8931,manha,Itaipu
11,0,1,1,1991,tarde,Parque_Aves
34,0,0,1,2038,noite,Cataratas
13,1,1,1,6442,tarde,Itaipu
24,0,0,0,2562,tarde,Parque_Aves
26,0,0,0,2862,noite,Marco
24,1,0,0,6933,noite,Itaipu
11,1,0,0,12224,manha,Cataratas
36,0,0,0,10799,noite,Marco
29,1,0,0,1968,tarde,Itaipu
31,0,1,0,19753,noite,Marco
31,1,1,0,15626,manha,Itaipu
33,0,1,0,6126,manha,Parque_Aves
14,0,1,0,13257,tarde,Parque_Aves
30,0,1,1,18566,noite,Cataratas
17,0,0,1,8728,tarde,Parque_Aves
10,0,1,1,11713,manha,Parque_Aves
22,0,1,0,7437,noite,Marco
34,1,1,0,4573,tarde,Itaipu
20,1,0,0,13354,tarde,Itaipu
29,0,0,0,18518,manha,Parque_Aves
25,1,1,1,3419,tarde,Itaipu
12,1,0,1,9187,manha,Itaipu
27,0,0,0,5279,manha,Parque_Aves
28,0,0,1,2354,noite,Marco
14,1,1,0,533,noite,Itaipu
30,1,0,0,7089,tarde,Itaipu
32,0,0,0,14156,tarde,Parque_Aves
25,1,1,0,8769,noite,Itaipu
20,1,1,0,12561,noite,Itaipu
24,1,0,0,17681,manha,Itaipu
31,1,0,0,14347,manha,Itaipu
17,0,1,0,13323,manha,Parque_Aves
27,1,1,0,14732,tarde,Itaipu
27,0,1,0,16420,tarde,Parque_Aves
30,0,1,0,17459,manha,Parque_Aves
27,0,1,0,12104,noite,Marco
27,1,0,0,1370,noite,Itaipu
21,0,0,0,7256,tarde,Parque_Aves
30,1,0,0,2920,tarde,Itaipu
18,1,0,0,6365,tarde,Itaipu
26,1,0,0,14172,noite,Itaipu
24,1,0,1,1715,noite,Cataratas
19,1,1,0,15236,tarde,Cataratas
26,1,1,0,5690,manha,Itaipu
18,1,0,1,14660,manha,Itaipu
29,1,0,0,19546,tarde,Cataratas
28,0,1,1,16344,manha,Parque_Aves
33,1,0,0,2399,tarde,Itaipu
34,0,0,1,12786,noite,Cataratas
33,0,0,0,4774,tarde,Parque_Aves
15,0,0,1,12208,noite,Marco
29,1,0,0,6890,noite,Itaipu
33,1,1,1,19489,noite,Cataratas
17,1,0,0,8711,tarde,Itaipu
15,0,1,0,11897,noite,Marco
38,1,1,0,10202,tarde,Cataratas
15,1,1,0,15759,noite,Itaipu
36,0,1,1,4191,noite,Cataratas
17,0,0,1,17055,noite,Marco
11,1,1,1,5031,manha,Cataratas
28,1,0,0,2047,noite,Itaipu
31,1,1,1,7463,tarde,Itaipu
16,1,1,0,2818,noite,Itaipu
15,1,0,1,12543,manha,Itaipu
21,0,0,1,11592,tarde,Parque_Aves
14,0,0,0,2046,tarde,Parque_Aves
25,0,1,1,15115,manha,Parque_Aves
24,1,1,1,1164,tarde,Cataratas
22,1,0,1,5538,noite,Itaipu
31,0,0,0,10428,manha,Parque_Aves
33,0,1,1,13781,tarde,Cataratas
26,1,1,0,8811,tarde,Itaipu
20,1,1,0,11752,noite,Itaipu
24,0,1,1,17895,tarde,Parque_Aves
12,1,1,0,9018,noite,Itaipu
35,0,1,0,6889,tarde,Parque_Aves
32,1,1,1,14945,noite,Itaipu
37,1,0,1,9383,noite,Itaipu
27,1,1,1,17575,noite,Itaipu
33,0,1,1,6251,manha,Cataratas
23,0,1,0,16186,manha,Parque_Aves
10,1,0,0,1254,tarde,Itaipu
20,0,1,1,15828,manha,Parque_Aves
37,1,0,0,1158,manha,Cataratas
24,0,0,0,18174,noite,Marco
14,0,1,1,11399,noite,Marco
20,0,1,1,13337,tarde,Parque_Aves
34,1,0,0,14570,noite,Itaipu
20,0,0,0,6071,noite,Marco
16,0,0,1,8319,tarde,Parque_Aves
12,0,1,1,17588,tarde,Parque_Aves
21,1,0,1,5687,noite,Itaipu
37,1,1,1,677,tarde,Itaipu
