DATAREGISTRO;AMPARO;AMPARO_DESCRICAO;CLASSIFICACAO_REGISTRO;DATAENTRADA;UNIDADE_FED_RESIDENCIA;MUNICIPIO_RESIDENCIA;PAIS_NASCIMENTO;PAIS_NACIONALIDADE;CONTINENTE;IDADE;SEXO;ESTADO_CIVIL;PROFISSAO;STATUS;CLASSIFICACAO_REVISADA;TIPOLOGIA_AMPAROS
2026;286;286 - ART. 37, LEI 13.445/2017.;Residente;2025;SP;NÃO ESPECIFICADO;ESPANHA;ESPANHA;EUROPA;79;Masculino;CASADO;APOSENTADO, PENSIONISTA, OU ASSEMELHADO;Ativo;RESIDENTE;REUNIÃO FAMILIAR
2026;286;286 - ART. 37, LEI 13.445/2017.;Residente;2025;RJ;NÃO ESPECIFICADO;ESPANHA;ESPANHA;EUROPA;53;Masculino;DIVORCIADO;OUTRA OCUPACAO NAO CLASSIFICADA;Ativo;RESIDENTE;REUNIÃO FAMILIAR
2026;286;286 - ART. 37, LEI 13.445/2017.;Residente;2025;RJ;RIO DE JANEIRO;ESPANHA;ESPANHA;EUROPA;4;Masculino;SOLTEIRO;ESTUDANTE;Ativo;RESIDENTE;REUNIÃO FAMILIAR
2026;282;282 - ART. 14, I, LETRA E DA LEI 13.445/2017.;Temporário;2026;SP;SÃO PAULO;ESPANHA;ESPANHA;EUROPA;25;Masculino;SOLTEIRO;OUTRA OCUPACAO NAO CLASSIFICADA;Ativo;TEMPORÁRIO;TRABALHO/INVESTIMENTOS
2026;282;282 - ART. 14, I, LETRA E DA LEI 13.445/2017.;Temporário;2026;SP;SÃO PAULO;ESPANHA;ESPANHA;EUROPA;28;Feminino;SOLTEIRO;OUTRA OCUPACAO NAO CLASSIFICADA;Ativo;TEMPORÁRIO;TRABALHO/INVESTIMENTOS
2026;201;201 - ACORDO BRASIL/ARGENTINA DEC. 6736/09;Residente;2025;RN;NÃO ESPECIFICADO;ANDORRA;ESPANHA;EUROPA;6;Feminino;SOLTEIRO;MENOR ( CRIANCA , NAO ESTUDANTE );Ativo;RESIDENTE;REUNIÃO FAMILIAR
2026;286;286 - ART. 37, LEI 13.445/2017.;Residente;2025;GO;NÃO ESPECIFICADO;ESPANHA;ESPANHA;EUROPA;40;Masculino;CASADO;ECONOMISTA, ATUARIO, CONTADOR, TECNICO EM CONTABILIDADE, AUDITOR, ESTATISTICO, ADMINISTRADOR, OU ASSEMELHADO;Ativo;RESIDENTE;REUNIÃO FAMILIAR
2026;321;321 - RESOLUÇÃO CNIG MJSP Nº 45/2021;Temporário;2025;RJ;RIO DE JANEIRO;ESPANHA;ESPANHA;EUROPA;30;Feminino;SOLTEIRO;PSICOLOGO, ANALISTA, SOCIOLOGO, ASSISTENTE SOCIAL, OU ASSEMELHADO;Ativo;TEMPORÁRIO;TRABALHO/INVESTIMENTOS
2026;132;132 - RNS 03 E 04/2017 - CNIG;Temporário;2025;RJ;NÃO ESPECIFICADO;ESPANHA;ESPANHA;EUROPA;24;Feminino;SOLTEIRO;ARQUITETO, ENGENHEIRO, AGRIMENSOR, OU ASSEMELHADO;Ativo;TEMPORÁRIO;TRABALHO/INVESTIMENTOS
2026;286;286 - ART. 37, LEI 13.445/2017.;Residente;2025;DF;NÃO ESPECIFICADO;ESPANHA;ESPANHA;EUROPA;38;Masculino;SOLTEIRO;OUTRA OCUPACAO NAO CLASSIFICADA;Ativo;RESIDENTE;REUNIÃO FAMILIAR
